method,model_name,corruption,group,severity,n_images,accuracy,f1_macro,f1_Neither,f1_Only_Fire,f1_Only_Smoke,f1_Both,accuracy_drop,relative_drop_pct
iteration3,MobileNetV3-Small robust,contrast_down,seen_in_training,3,4306,0.8388295401764979,0.8028340953429941,0.8901881037112354,0.700587084148728,0.796031746031746,0.8245294474802671,0.05666511843938693,6.327800829875522
iteration3,MobileNetV3-Small robust,defocus_blur,unseen_in_training,1,4306,0.8894565722248026,0.8539625630158414,0.9369369369369369,0.7586206896551724,0.8534338358458962,0.8668587896253602,0.006038086391082276,0.6742738589211691
iteration3,MobileNetV3-Small robust,defocus_blur,unseen_in_training,2,4306,0.8741291221551324,0.8325054878311741,0.9238095238095239,0.7131474103585658,0.8408710217755444,0.8521939953810623,0.021365536460752454,2.3858921161825744
iteration3,MobileNetV3-Small robust,defocus_blur,unseen_in_training,3,4306,0.8404551788202508,0.7939534813366886,0.9007179995048279,0.6653846153846154,0.7932631578947369,0.8164481525625745,0.05503947979563406,6.146265560165983
iteration3,MobileNetV3-Small robust,fog,seen_in_training,1,4306,0.8913144449605203,0.8559700958055096,0.9366641433257633,0.757201646090535,0.8571428571428571,0.8728717366628831,0.004180213655364584,0.4668049792531094
iteration3,MobileNetV3-Small robust,fog,seen_in_training,2,4306,0.8743613562470971,0.8296213501331537,0.9262943126753379,0.6961538461538461,0.8465002046663938,0.8495370370370371,0.021133302368787743,2.359958506224067
iteration3,MobileNetV3-Small robust,fog,seen_in_training,3,4306,0.8392940083604273,0.7790187485087166,0.9028925619834711,0.5895522388059702,0.8155493851646172,0.8080808080808081,0.05620065025545751,6.275933609958507
iteration3,MobileNetV3-Small robust,gaussian_noise,unseen_in_training,1,4306,0.8850441244774733,0.8464217175612209,0.9307535641547862,0.730844793713163,0.854672704816797,0.8694158075601375,0.010450534138411571,1.167012448132786
iteration3,MobileNetV3-Small robust,gaussian_noise,unseen_in_training,2,4306,0.8506734788666976,0.8004675465996136,0.908485003845168,0.636963696369637,0.8232882328823288,0.8331332533013205,0.0448211797491872,5.005186721991704
iteration3,MobileNetV3-Small robust,gaussian_noise,unseen_in_training,3,4306,0.800046446818393,0.7380757119327103,0.8781725888324873,0.5288590604026846,0.7749576988155669,0.7703134996801023,0.09544821179749186,10.658713692946055
iteration3,MobileNetV3-Small robust,jpeg,unseen_in_training,1,4306,0.8873664653971203,0.8476181337421997,0.9359038557836755,0.7357723577235772,0.8534338358458962,0.8653624856156502,0.008128193218764568,0.9076763485477237
iteration3,MobileNetV3-Small robust,jpeg,unseen_in_training,2,4306,0.8560148629818858,0.8140728820660037,0.9080089263575503,0.6939571150097466,0.8128977513788714,0.8414277355178467,0.03947979563399906,4.408713692946057
iteration3,MobileNetV3-Small robust,jpeg,unseen_in_training,3,4306,0.7645146307477938,0.7176554299621838,0.8443506797937178,0.6210350584307178,0.6407389402041809,0.7644970414201183,0.13098002786809104,14.62655601659751
iteration3,MobileNetV3-Small robust,motion_blur,unseen_in_training,1,4306,0.8920111472364143,0.8543089383634479,0.9393179538615848,0.75,0.8587002096436058,0.8692175899486008,0.0034835113794705608,0.3890041493775994
iteration3,MobileNetV3-Small robust,motion_blur,unseen_in_training,2,4306,0.882954017649791,0.8392630856194544,0.934071464519376,0.7145708582834331,0.8544251447477254,0.8539848749272833,0.012540640966093863,1.4004149377593407
iteration3,MobileNetV3-Small robust,motion_blur,unseen_in_training,3,4306,0.866697631212262,0.8203637289915897,0.9209656925031766,0.6823529411764706,0.8331977217249796,0.844938560561732,0.028797027403622888,3.215767634854776
