run_id,method,backbone,seed,split,metric,value,timestamp,git_sha,git_dirty
comparison-seed43-20260801-002326,comparison,efficientnet_b0,43.0,test,n_parameters,4336512.0,2026-08-01T00:23:26+00:00,0e8e107,1
comparison-seed43-20260801-002326,comparison,efficientnet_b0,43.0,test,test_accuracy,0.9059451927542964,2026-08-01T00:23:26+00:00,0e8e107,1
comparison-seed43-20260801-002326,comparison,efficientnet_b0,43.0,test,test_f1_macro,0.8711033832614673,2026-08-01T00:23:26+00:00,0e8e107,1
comparison-seed43-20260801-002326,comparison,efficientnet_b0,43.0,test,test_loss,0.311866667737628,2026-08-01T00:23:26+00:00,0e8e107,1
comparison-seed44-20260801-003303,comparison,efficientnet_b0,44.0,test,best_val_loss,0.3667481424684854,2026-08-01T00:33:03+00:00,0e8e107,1
comparison-seed44-20260801-003303,comparison,efficientnet_b0,44.0,test,finetune.best_val_loss,0.3667481424684854,2026-08-01T00:33:03+00:00,0e8e107,1
comparison-seed44-20260801-003303,comparison,efficientnet_b0,44.0,test,finetune.epochs_completed,10.0,2026-08-01T00:33:03+00:00,0e8e107,1
comparison-seed44-20260801-003303,comparison,efficientnet_b0,44.0,test,finetune.global_epoch_offset,15.0,2026-08-01T00:33:03+00:00,0e8e107,1
comparison-seed44-20260801-003303,comparison,efficientnet_b0,44.0,test,head.best_val_loss,0.4758453631870359,2026-08-01T00:33:03+00:00,0e8e107,1
comparison-seed44-20260801-003303,comparison,efficientnet_b0,44.0,test,head.epochs_completed,5.0,2026-08-01T00:33:03+00:00,0e8e107,1
comparison-seed44-20260801-003303,comparison,efficientnet_b0,44.0,test,head.global_epoch_offset,5.0,2026-08-01T00:33:03+00:00,0e8e107,1
comparison-seed44-20260801-003303,comparison,efficientnet_b0,44.0,test,n_parameters,4336512.0,2026-08-01T00:33:03+00:00,0e8e107,1
comparison-seed44-20260801-003303,comparison,efficientnet_b0,44.0,test,test_accuracy,0.915466790524849,2026-08-01T00:33:03+00:00,0e8e107,1
comparison-seed44-20260801-003303,comparison,efficientnet_b0,44.0,test,test_f1_macro,0.8743696595883059,2026-08-01T00:33:03+00:00,0e8e107,1
comparison-seed44-20260801-003303,comparison,efficientnet_b0,44.0,test,test_loss,0.3033393946200733,2026-08-01T00:33:03+00:00,0e8e107,1
