method,model_name,corruption,group,severity,n_images,accuracy,f1_macro,f1_Neither,f1_Only_Fire,f1_Only_Smoke,f1_Both,accuracy_drop,relative_drop_pct,seed,checkpoint
iteration2,MobileNetV3-Small,brightness_down,seen_in_training,3,4306,0.841848583372039,0.77915547234095,0.9190253507260645,0.6032786885245902,0.8076595744680851,0.7866582756450597,0.059219693450998534,6.572164948453601,44,C:\git\fireDetection\checkpoints\iteration2-seed44\best_model.pt
iteration2,MobileNetV3-Small,brightness_down,seen_in_training,3,4306,0.8258244310264747,0.7620478057499201,0.9089971642175818,0.5608308605341247,0.7959612957509465,0.7824019024970273,0.052717138875986946,6.000528680941047,45,C:\git\fireDetection\checkpoints\iteration2-seed45\best_model.pt
iteration2,MobileNetV3-Small,brightness_down,seen_in_training,3,4306,0.8156061309800279,0.7758796920405013,0.8748010610079575,0.6512455516014235,0.7713073659853451,0.8061647895672792,0.0694379934974454,7.845709787457357,46,C:\git\fireDetection\checkpoints\iteration2-seed46\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_down,seen_in_training,3,4306,0.8248954946586159,0.7907623370074132,0.8704690831556503,0.6731517509727627,0.782803738317757,0.8366247755834829,0.06572224802601023,7.379400260756195,42,C:\git\fireDetection\checkpoints\iteration3-seed42\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_down,seen_in_training,3,4306,0.8383650719925685,0.8049381290027042,0.8858638743455497,0.6987951807228916,0.794061667301104,0.8410317936412718,0.05527171388759877,6.1850311850311925,43,C:\git\fireDetection\checkpoints\iteration3-seed43\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_down,seen_in_training,3,4306,0.8167673014398513,0.7775199879228513,0.8693347468857673,0.6493506493506493,0.7800738007380074,0.8113207547169812,0.07059916395726895,7.956032452237637,44,C:\git\fireDetection\checkpoints\iteration3-seed44\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_down,seen_in_training,3,4306,0.8346493265211333,0.8031615645590396,0.8797484935813467,0.7031578947368421,0.7906801954152575,0.8390596745027125,0.060845332094751514,6.794605809128631,45,C:\git\fireDetection\checkpoints\iteration3-seed45\best_model.pt
iteration3,MobileNetV3-Small robust,brightness_down,seen_in_training,3,4306,0.8265211333023688,0.7908585749779315,0.8728902953586498,0.6705426356589147,0.7856603773584906,0.8343409915356711,0.06014862981885749,6.783656364588798,46,C:\git\fireDetection\checkpoints\iteration3-seed46\best_model.pt
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,1,4306,0.8803994426381793,0.8401930458490797,0.930905462708905,0.7254901960784313,0.837709857942316,0.8666666666666667,0.013934045517882021,1.55803687353934,42,C:\git\fireDetection\checkpoints\iteration2-seed42\best_model.pt
iteration2,MobileNetV3-Small,brightness_up,seen_in_training,1,4306,0.869019972131909,0.8324774605071302,0.9219717612088184,0.7383367139959433,0.8192258613356018,0.8503755054881571,0.014862981885740867,1.6815554387808769,43,C:\git\fireDetection\checkpoints\iteration2-seed43\best_model.pt
