order,tensor,producer_node,op_type,fp32_absmax,int8_absmax,fp32_all_zero,int8_all_zero,diverged_to_zero,scale,zero_point
957,/model.22/m.0/m.0.0/Add_output_0,/model.22/m.0/m.0.0/Add,Add,7.204108715057373,6.563933372497559,0,0,0,,
958,/model.22/m.0/m.0.0/Add_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.0/Add_output_0_QuantizeLinear,QuantizeLinear,7.204108715057373,114.0,0,0,0,0.06268513947725296,9.0
959,/model.22/m.0/m.0.0/Add_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.0/Add_output_0_DequantizeLinear,DequantizeLinear,7.204108715057373,6.581939697265625,0,0,0,0.06268513947725296,9.0
960,/model.22/m.0/m.0.1/attn/qkv/conv/Conv_output_0,/model.22/m.0/m.0.1/attn/qkv/conv/Conv,Conv,7.722895622253418,6.52725887298584,0,0,0,,
961,/model.22/m.0/m.0.1/attn/qkv/conv/Conv_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.1/attn/qkv/conv/Conv_output_0_QuantizeLinear,QuantizeLinear,7.722895622253418,190.0,0,0,0,0.08705372363328934,123.0
962,/model.22/m.0/m.0.1/attn/qkv/conv/Conv_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.1/attn/qkv/conv/Conv_output_0_DequantizeLinear,DequantizeLinear,7.722895622253418,6.529029369354248,0,0,0,0.08705372363328934,123.0
963,/model.22/m.0/m.0.1/attn/Reshape_output_0,/model.22/m.0/m.0.1/attn/Reshape,Reshape,7.722895622253418,6.529029369354248,0,0,0,,
964,/model.22/m.0/m.0.1/attn/Reshape_output_0_QuantizeLinear_Output,/model.22/m.0/m.0.1/attn/Reshape_output_0_QuantizeLinear,QuantizeLinear,7.722895622253418,190.0,0,0,0,0.08705372363328934,123.0
965,/model.22/m.0/m.0.1/attn/Reshape_output_0_DequantizeLinear_Output,/model.22/m.0/m.0.1/attn/Reshape_output_0_DequantizeLinear,DequantizeLinear,7.722895622253418,6.529029369354248,0,0,0,0.08705372363328934,123.0
966,/model.22/m.0/m.0.1/attn/Split_output_0,/model.22/m.0/m.0.1/attn/Split,Split,5.038695812225342,4.613847255706787,0,0,0,,
967,/model.22/m.0/m.0.1/attn/Split_output_1,/model.22/m.0/m.0.1/attn/Split,Split,4.827134132385254,4.526793479919434,0,0,0,,
968,/model.22/m.0/m.0.1/attn/Split_output_2,/model.22/m.0/m.0.1/attn/Split,Split,7.722895622253418,6.529029369354248,0,0,0,,
